Testcase, Testcase #,domainCodeRegister,category,staticGroup,requestedDate,messageRegister,action,userTokenValidity,domainCodeSaveAction,value,data,messageSaveAction
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Invalid,Invalid,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,null,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": """",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": """",
""title"": ""Mr""
}",Document action saved successfully
,TC-014,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/17/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": """"
}",Document action saved successfully
Save Action - SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,TC-005,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/8/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,PETSURE,gihan@intervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,PETSURE,," {
       ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,PETSURE,rumanaintervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,null,PETSURE,gihan@intervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Invalid token
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Invalid,Invalid,gihan@intervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,null,gihan@intervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,PETSURE,gihan@intervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,PETSURE,gihan@intervest.lk," {
       ""first_name"": """",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr""
    }",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,PETSURE,gihan@intervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": """",
        ""title"": ""Mr""
    }",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION_TO_OLD,Valid,PETSURE,gihan@intervest.lk," {
       ""first_name"": ""Rumana"",
        ""sur_name"": """",
        ""title"": ""Mr""
    }",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_CHANGE_USERNAME,Valid,PETSURE,,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_CHANGE_USERNAME,Valid,PETSURE,rumanaintervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_CHANGE_USERNAME,null,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Invalid token
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_CHANGE_USERNAME,Invalid,Invalid,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_CHANGE_USERNAME,Valid,null,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_CHANGE_USERNAME,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_CHANGE_USERNAME,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": """",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_CHANGE_USERNAME,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": """",
        ""title"": ""Mr"",
        ""link"":""https://www.google.com?text=1""
}",Document action saved successfully
,TC-014,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/17/2020,OK,SS_CHANGE_USERNAME,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": """",
        ""link"":""https://www.google.com?text=1""
}",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Valid,PETSURE,,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Valid,PETSURE,rumanaintervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,null,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid token
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Invalid,Invalid,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Valid,null,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": """",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": """",
""title"": ""Mr""
}",Document action saved successfully
,TC-014,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/17/2020,OK,SS_CHANGE_USERNAME_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": """"
}",Document action saved successfully
Save Action - SS_CHANGE_PASSWORD_CONFIRMATION,TC-005,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/8/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,PETSURE,,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,PETSURE,rumanaintervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,null,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid token
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Invalid,Invalid,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,null,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": """",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": """",
""title"": ""Mr""
}",Document action saved successfully
,TC-014,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/17/2020,OK,SS_CHANGE_PASSWORD_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": """"
}",Document action saved successfully
Save Action - SS_CHANGE_MY_DETAIL,TC-005,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/8/2020,OK,SS_CHANGE_MY_DETAIL,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_CHANGE_MY_DETAIL,Valid,PETSURE,,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_CHANGE_MY_DETAIL,Valid,PETSURE,rumanaintervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_CHANGE_MY_DETAIL,null,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Invalid token
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_CHANGE_MY_DETAIL,Invalid,Invalid,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_CHANGE_MY_DETAIL,Valid,null,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_CHANGE_MY_DETAIL,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_CHANGE_MY_DETAIL,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": """",
        ""sur_name"": ""Banu"",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_CHANGE_MY_DETAIL,Valid,PETSURE,gihan@intervest.lk,"{
        ""first_name"": ""Rumana"",
        ""sur_name"": """",
        ""title"": ""Mr"",
        ""account_number"": ""2216313063"",
        ""login_link"": ""https://www.google.com?text=1"",
        ""change_made"":""NIC Number, Date of Birth, <any item>"",
        ""modified_items"": [
            ""NIC Number"",
            ""Date of birth"",
            ""<any item>""
        ]
    }",Document action saved successfully
